,strctid,gsq_foot,x,y,numprec
116,S0020659,1776.1070000000002,-94.50542,37.09042,5.0
117,S0020679,1706.997,-94.50583,37.09129,4.0
118,S0020685,1347.747,-94.50531,37.0913,4.0
119,S0020679,1706.997,-94.50583,37.09129,2.0
120,S0020819,1975.029,-94.50542,37.0924,1.0
121,S0020819,1975.029,-94.50542,37.0924,1.0
122,S0020818,1079.743,-94.50558,37.09237,0.0
123,S0021291,1119.178,-94.50575,37.09376,1.0
124,S0021114,1072.198,-94.50556,37.09405,3.0
125,S0020811,1040.93,-94.5058,37.09403,5.0
126,S0021291,1119.178,-94.50575,37.09376,3.0
127,S0021115,1258.296,-94.50531,37.09404,1.0
128,S0020814,1151.725,-94.50509,37.0937,2.0
129,S0020814,1151.725,-94.50509,37.0937,4.0
130,S0021110,738.576,-94.504,37.09405,1.0
131,S0021110,738.576,-94.504,37.09405,2.0
132,S0020800,1095.53,-94.50466,37.09376,4.0
133,S0020800,1095.53,-94.50466,37.09376,1.0
134,S0021304,1633.233,-94.50381,37.09376,0.0
135,S0020801,1436.842,-94.50463,37.09351,2.0
136,S0020802,709.9606,-94.50467,37.0934,1.0
137,S0021309,1399.707,-94.50381,37.09322,1.0
138,S0021309,1399.707,-94.50381,37.09322,0.0
139,S0020801,1436.842,-94.50463,37.09351,0.0
140,S0021099,764.8173,-94.50446,37.09203,3.0
141,S0021098,809.8066,-94.50466,37.09235,1.0
142,S0021106,818.8041,-94.50399,37.0924,1.0
143,S0020795,926.7783,-94.50401,37.09206,3.0
144,S0020689,1361.104,-94.50417,37.09124,3.0
145,S0020688,3028.396,-94.50471,37.09127,2.0
146,S0021096,933.9288,-94.50339,37.091640000000005,1.0
147,S0020696,1397.635,-94.50327,37.09126,1.0
148,S0021197,1355.496,-94.50264,37.09127,4.0
149,S0021197,1355.496,-94.50264,37.09127,1.0
150,S0020698,1160.522,-94.50285,37.09126,0.0
151,S0020696,1397.635,-94.50327,37.09126,0.0
152,S0021204,1206.479,-94.50146,37.09127,2.0
153,S0021204,1206.479,-94.50146,37.09127,3.0
154,S0020773,1436.078,-94.5023,37.0913,0.0
155,S0021201,1582.221,-94.5018,37.09129,0.0
156,S0021202,620.3489,-94.50155,37.09138,0.0
157,S0020701,826.4899,-94.50198,37.09089,1.0
158,S0020700,1102.786,-94.50178,37.09089,5.0
159,S0021660,1864.592,-94.50149,37.09085,2.0
160,S0021660,1864.592,-94.50149,37.09085,3.0
161,S0020701,826.4899,-94.50198,37.09089,2.0
162,S0020702,1082.523,-94.50216,37.09088,2.0
163,S0020652,1477.054,-94.50317,37.09089,1.0
164,S0020645,836.7999,-94.5042,37.08984,1.0
165,S0021277,5544.2480000000005,-94.50404,37.0894,2.0
166,S0021277,5544.2480000000005,-94.50404,37.0894,0.0
167,S0021214,3132.54,-94.5032,37.09,1.0
168,S0021226,2987.376,-94.50151,37.0899,3.0
169,S0021222,1003.681,-94.50218,37.08991,5.0
170,S0021390,2375.432,-94.5042,37.08791,1.0
171,S0021186,1385.672,-94.50833,37.09205,2.0
172,S0021187,1787.0220000000002,-94.50836,37.09233,1.0
173,S0021189,1389.8,-94.50836,37.09247,0.0
174,S0020839,1650.1029999999998,-94.50898,37.09277,3.0
175,S0020838,1975.783,-94.50873,37.09278,0.0
176,S0021639,11411.82,-94.50922,37.087790000000005,1.0
177,S0021284,11592.19,-94.50953,37.0884,69.0
178,S0021273,14272.01,-94.51267,37.08898,1.0
179,S0021272,14194.98,-94.51269,37.08937,1.0
180,S0021272,14194.98,-94.51269,37.08937,1.0
181,S0021272,14194.98,-94.51269,37.08937,1.0
182,S0021273,14272.01,-94.51267,37.08898,1.0
183,S0021272,14194.98,-94.51269,37.08937,1.0
184,S0021273,14272.01,-94.51267,37.08898,1.0
185,S0021273,14272.01,-94.51267,37.08898,1.0
186,S0021273,14272.01,-94.51267,37.08898,1.0
187,S0021273,14272.01,-94.51267,37.08898,1.0
188,S0021272,14194.98,-94.51269,37.08937,1.0
189,S0021273,14272.01,-94.51267,37.08898,1.0
190,S0021272,14194.98,-94.51269,37.08937,1.0
191,S0021273,14272.01,-94.51267,37.08898,1.0
192,S0021273,14272.01,-94.51267,37.08898,1.0
193,S0021273,14272.01,-94.51267,37.08898,1.0
194,S0021272,14194.98,-94.51269,37.08937,1.0
195,S0021272,14194.98,-94.51269,37.08937,1.0
196,S0021272,14194.98,-94.51269,37.08937,1.0
197,S0021273,14272.01,-94.51267,37.08898,1.0
198,S0021273,14272.01,-94.51267,37.08898,1.0
199,S0021272,14194.98,-94.51269,37.08937,1.0
200,S0021273,14272.01,-94.51267,37.08898,1.0
201,S0021272,14194.98,-94.51269,37.08937,1.0
202,S0021273,14272.01,-94.51267,37.08898,1.0
203,S0021273,14272.01,-94.51267,37.08898,1.0
204,S0021273,14272.01,-94.51267,37.08898,1.0
205,S0021272,14194.98,-94.51269,37.08937,1.0
206,S0021272,14194.98,-94.51269,37.08937,1.0
207,S0021272,14194.98,-94.51269,37.08937,1.0
208,S0021273,14272.01,-94.51267,37.08898,1.0
209,S0021273,14272.01,-94.51267,37.08898,1.0
210,S0021272,14194.98,-94.51269,37.08937,1.0
211,S0021273,14272.01,-94.51267,37.08898,1.0
212,S0021272,14194.98,-94.51269,37.08937,1.0
213,S0021272,14194.98,-94.51269,37.08937,1.0
214,S0021272,14194.98,-94.51269,37.08937,1.0
215,S0021272,14194.98,-94.51269,37.08937,1.0
216,S0021272,14194.98,-94.51269,37.08937,1.0
217,S0021272,14194.98,-94.51269,37.08937,1.0
218,S0021273,14272.01,-94.51267,37.08898,1.0
219,S0021272,14194.98,-94.51269,37.08937,1.0
220,S0021272,14194.98,-94.51269,37.08937,1.0
221,S0021273,14272.01,-94.51267,37.08898,2.0
222,S0021273,14272.01,-94.51267,37.08898,1.0
223,S0021273,14272.01,-94.51267,37.08898,1.0
224,S0021273,14272.01,-94.51267,37.08898,1.0
225,S0021273,14272.01,-94.51267,37.08898,1.0
226,S0021272,14194.98,-94.51269,37.08937,1.0
227,S0021272,14194.98,-94.51269,37.08937,1.0
228,S0021272,14194.98,-94.51269,37.08937,1.0
229,S0021273,14272.01,-94.51267,37.08898,1.0
230,S0021272,14194.98,-94.51269,37.08937,1.0
231,S0021273,14272.01,-94.51267,37.08898,1.0
232,S0021272,14194.98,-94.51269,37.08937,2.0
233,S0021272,14194.98,-94.51269,37.08937,1.0
234,S0021272,14194.98,-94.51269,37.08937,1.0
235,S0021273,14272.01,-94.51267,37.08898,1.0
236,S0021273,14272.01,-94.51267,37.08898,1.0
237,S0021272,14194.98,-94.51269,37.08937,1.0
