Budget :,15000000.0,Tornado Length:,5.0
Best Bound:,14529
Best Objective:,14529
Gap:,0.0
CCG Run time:,69.96
CCG Iteration:,2
Subproblem Run time:,69.79
Number of Subproblem Callbacks:,48
Subproblem Callbacks Run Time:,3.73
Number of Uncertainty Set Check Call:,6
Uncertainty Set Check Run Time:,0.55
Head of worst tornado:,-94.553,37.063
Tail of worst tornado:,-94.465,37.081

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recovery Cost,Dislocation
32,-94.574,37.061,810,R2,232438,NO,0,0,
70,-94.569,37.071,260,R1,77012,NO,0,0,
5,-94.559,37.061,136,R3,95089,YES,0,111,
85,-94.558,37.052,366,Do_nothing,0,NO,0,0,
71,-94.558,37.045,43,R1,19605,NO,0,0,
92,-94.555,37.068,531,Do_nothing,0,YES,0,526,
38,-94.552,37.076,451,R1,158010,NO,0,0,
21,-94.552,37.058,436,R2,286345,YES,0,381,
41,-94.55,37.094,623,Do_nothing,0,NO,0,0,
56,-94.548,37.066,478,R2,158240,YES,0,418,
80,-94.543,37.06,964,R2,139593,YES,0,843,
62,-94.542,37.083,526,R1,88700,NO,0,0,
20,-94.541,37.076,592,R3,618825,NO,0,0,
10,-94.541,37.091,745,R2,120838,NO,0,0,
55,-94.537,37.067,697,R2,177452,YES,0,610,
36,-94.535,37.044,277,R3,203487,NO,0,0,
44,-94.532,37.103,50,Do_nothing,0,NO,0,0,
48,-94.531,37.093,447,Do_nothing,0,NO,0,0,
8,-94.53,37.067,663,R1,216395,YES,0,657,
15,-94.528,37.085,712,R2,136293,NO,0,0,
61,-94.526,37.112,57,R3,64668,NO,0,0,
78,-94.526,37.072,1014,R3,314775,YES,0,825,
34,-94.525,37.064,1038,R2,205344,YES,0,908,
100,-94.524,37.079,485,R1,76581,NO,0,0,
90,-94.522,37.089,737,R3,410968,NO,0,0,
64,-94.521,37.102,540,R2,318395,NO,0,0,
79,-94.521,37.053,642,R2,106262,NO,0,0,
1,-94.521,37.094,708,R2,131021,NO,0,0,
22,-94.521,37.075,470,R2,108093,YES,0,411,
31,-94.52,37.084,620,R1,149381,NO,0,0,
54,-94.52,37.068,801,R1,232480,YES,0,794,
82,-94.518,37.043,276,Do_nothing,0,NO,0,0,
11,-94.517,37.059,537,R1,104028,NO,0,0,
75,-94.517,37.074,645,R1,139646,YES,0,639,
50,-94.516,37.091,1155,R1,588581,NO,0,0,
19,-94.516,37.051,782,Do_nothing,0,NO,0,0,
99,-94.515,37.098,648,R3,256178,NO,0,0,
72,-94.514,37.068,839,R3,291373,YES,0,683,
47,-94.512,37.06,438,Do_nothing,0,NO,0,0,
49,-94.512,37.042,633,R2,155714,NO,0,0,
77,-94.511,37.03,57,R1,21608,NO,0,0,
95,-94.511,37.082,262,R2,156209,NO,0,0,
98,-94.51,37.056,325,Do_nothing,0,NO,0,0,
53,-94.51,37.075,705,R3,246237,YES,0,574,
65,-94.509,37.065,510,R3,202701,NO,0,0,
63,-94.509,37.142,127,R2,19099,NO,0,0,
14,-94.508,37.12,584,R1,82896,NO,0,0,
23,-94.507,37.06,551,Do_nothing,0,NO,0,0,
93,-94.507,37.112,537,R2,103723,NO,0,0,
28,-94.505,37.092,367,R3,313866,NO,0,0,
2,-94.505,37.072,883,R3,628762,YES,0,723,
81,-94.504,37.049,217,R2,82323,NO,0,0,
45,-94.503,37.04,288,R2,120511,NO,0,0,
88,-94.501,37.064,839,R2,177974,NO,0,0,
89,-94.501,37.078,239,R1,48010,YES,0,237,
25,-94.501,37.084,141,R3,81689,NO,0,0,
91,-94.499,37.093,403,R1,130813,NO,0,0,
43,-94.498,37.071,1224,R2,578092,YES,0,1071,
76,-94.495,37.051,1481,R1,172013,NO,0,0,
42,-94.495,37.059,1119,Do_nothing,0,NO,0,0,
7,-94.494,37.039,391,R1,67468,NO,0,0,
17,-94.494,37.088,654,R1,124758,NO,0,0,
37,-94.494,37.129,466,R2,69779,NO,0,0,
26,-94.493,37.105,796,R2,213431,NO,0,0,
9,-94.493,37.08,1418,R3,887341,YES,0,1154,
60,-94.493,37.115,417,R1,120732,NO,0,0,
16,-94.492,37.02,330,R1,152263,NO,0,0,
83,-94.489,37.087,499,R3,224860,NO,0,0,
13,-94.489,37.066,1699,R1,193418,NO,0,0,
67,-94.487,37.051,405,Do_nothing,0,NO,0,0,
59,-94.486,37.107,808,Do_nothing,0,NO,0,0,
58,-94.485,37.09,538,R1,100371,NO,0,0,
4,-94.484,37.114,642,R1,206083,NO,0,0,
