Budget :,15000000.0,Tornado Length:,5.0
Best Bound:,15278
Best Objective:,15278
Gap:,0.0
CCG Run time:,63.44
CCG Iteration:,2
Subproblem Run time:,63.29
Number of Subproblem Callbacks:,60
Subproblem Callbacks Run Time:,7.32
Number of Uncertainty Set Check Call:,22
Uncertainty Set Check Run Time:,3.31
Head of worst tornado:,-94.553,37.063
Tail of worst tornado:,-94.465,37.081

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recovery Cost,Dislocation
32,-94.574,37.061,810,R3,417219,NO,0,0,
70,-94.569,37.071,260,R1,77012,NO,0,0,
5,-94.559,37.061,136,Do_nothing,0,YES,0,135,
85,-94.558,37.052,366,R3,189129,NO,0,0,
71,-94.558,37.045,43,R2,24639,NO,0,0,
92,-94.555,37.068,531,R2,141402,YES,0,465,
38,-94.552,37.076,451,Do_nothing,0,NO,0,0,
21,-94.552,37.058,436,R1,227840,YES,0,432,
41,-94.55,37.094,623,R3,304131,NO,0,0,
56,-94.548,37.066,478,R1,125910,YES,0,474,
80,-94.543,37.06,964,Do_nothing,0,YES,0,955,
62,-94.542,37.083,526,R3,217364,NO,0,0,
20,-94.541,37.076,592,R2,344756,NO,0,0,
10,-94.541,37.091,745,R3,216902,NO,0,0,
55,-94.537,37.067,697,R1,141199,YES,0,691,
36,-94.535,37.044,277,R3,203487,NO,0,0,
44,-94.532,37.103,50,R3,307578,NO,0,0,
48,-94.531,37.093,447,R2,86734,NO,0,0,
8,-94.53,37.067,663,Do_nothing,0,YES,0,657,
15,-94.528,37.085,712,R2,136293,NO,0,0,
61,-94.526,37.112,57,R2,36027,NO,0,0,
78,-94.526,37.072,1014,R3,314775,YES,0,825,
34,-94.525,37.064,1038,R2,205344,YES,0,908,
100,-94.524,37.079,485,R2,96246,NO,0,0,
90,-94.522,37.089,737,R2,228954,NO,0,0,
64,-94.521,37.102,540,R1,253339,NO,0,0,
79,-94.521,37.053,642,R3,190738,NO,0,0,
1,-94.521,37.094,708,R1,104250,NO,0,0,
22,-94.521,37.075,470,R3,194022,YES,0,382,
31,-94.52,37.084,620,Do_nothing,0,NO,0,0,
54,-94.52,37.068,801,R1,232480,YES,0,794,
82,-94.518,37.043,276,R2,95624,NO,0,0,
11,-94.517,37.059,537,R2,130741,NO,0,0,
75,-94.517,37.074,645,Do_nothing,0,YES,0,639,
50,-94.516,37.091,1155,R3,1327789,NO,0,0,
19,-94.516,37.051,782,R1,106626,NO,0,0,
99,-94.515,37.098,648,R3,256178,NO,0,0,
72,-94.514,37.068,839,Do_nothing,0,YES,0,831,
47,-94.512,37.06,438,R3,199866,NO,0,0,
49,-94.512,37.042,633,R3,279506,NO,0,0,
77,-94.511,37.03,57,Do_nothing,0,NO,0,0,
95,-94.511,37.082,262,R3,280390,NO,0,0,
98,-94.51,37.056,325,R1,112314,NO,0,0,
53,-94.51,37.075,705,Do_nothing,0,YES,0,699,
65,-94.509,37.065,510,Do_nothing,0,NO,0,0,
63,-94.509,37.142,127,R1,15197,NO,0,0,
14,-94.508,37.12,584,R1,82896,NO,0,0,
23,-94.507,37.06,551,Do_nothing,0,NO,0,0,
93,-94.507,37.112,537,R3,186181,NO,0,0,
28,-94.505,37.092,367,Do_nothing,0,NO,0,0,
2,-94.505,37.072,883,R2,350290,YES,0,775,
81,-94.504,37.049,217,R1,65502,NO,0,0,
45,-94.503,37.04,288,Do_nothing,0,NO,0,0,
88,-94.501,37.064,839,R1,141611,NO,0,0,
89,-94.501,37.078,239,R3,108310,YES,0,194,
25,-94.501,37.084,141,Do_nothing,0,NO,0,0,
91,-94.499,37.093,403,R3,295099,NO,0,0,
43,-94.498,37.071,1224,R3,1037663,YES,0,996,
76,-94.495,37.051,1481,Do_nothing,0,NO,0,0,
42,-94.495,37.059,1119,R2,213855,NO,0,0,
7,-94.494,37.039,391,R3,152208,NO,0,0,
17,-94.494,37.088,654,Do_nothing,0,NO,0,0,
37,-94.494,37.129,466,R1,55522,NO,0,0,
26,-94.493,37.105,796,R2,213431,NO,0,0,
9,-94.493,37.08,1418,Do_nothing,0,YES,0,1405,
60,-94.493,37.115,417,R2,151737,NO,0,0,
16,-94.492,37.02,330,Do_nothing,0,NO,0,0,
83,-94.489,37.087,499,R1,99675,NO,0,0,
13,-94.489,37.066,1699,Do_nothing,0,NO,0,0,
67,-94.487,37.051,405,R3,361306,NO,0,0,
59,-94.486,37.107,808,Do_nothing,0,NO,0,0,
58,-94.485,37.09,538,R1,100371,NO,0,0,
4,-94.484,37.114,642,R1,206083,NO,0,0,
68,-94.484,37.035,310,Do_nothing,0,NO,0,0,
87,-94.484,37.124,130,R1,45515,NO,0,0,
40,-94.484,37.076,931,R2,258296,YES,0,814,
30,-94.483,37.023,196,Do_nothing,0,NO,0,0,
27,-94.482,37.083,351,R3,152699,YES,0,286,
73,-94.482,37.068,964,Do_nothing,0,NO,0,0,
84,-94.476,37.115,541,Do_nothing,0,NO,0,0,
35,-94.474,37.043,76,Do_nothing,0,NO,0,0,
46,-94.472,37.079,1192,R1,191369,YES,0,1181,
39,-94.471,37.126,555,Do_nothing,0,NO,0,0,
51,-94.469,37.09,788,R3,2008749,NO,0,0,
52,-94.465,37.106,2209,Do_nothing,0,NO,0,0,
6,-94.464,37.076,445,Do_nothing,0,YES,0,441,
96,-94.464,37.086,342,R2,196233,YES,0,299,
74,-94.459,37.049,261,R1,26744,NO,0,0,
86,-94.458,37.119,18,R1,22382,NO,0,0,
29,-94.457,37.086,197,R1,59968,NO,0,0,
18,-94.456,37.107,108,R3,178071,NO,0,0,
24,-94.454,37.065,476,Do_nothing,0,NO,0,0,
94,-94.448,37.097,140,R2,58681,NO,0,0,
33,-94.441,37.053,625,Do_nothing,0,NO,0,0,
12,-94.441,37.094,41,R1,33082,NO,0,0,
57,-94.44,37.067,868,Do_nothing,0,NO,0,0,
97,-94.432,37.054,36,R1,49387,NO,0,0,
69,-94.431,37.1,74,R1,41699,NO,0,0,
3,-94.422,37.061,17,R3,27055,NO,0,0,
66,-94.411,37.068,10,Do_nothing,0,NO,0,0,
