Budget :,15000000.0,Tornado Length:,5.0
Best Bound:,15667
Best Objective:,15667
Gap:,0.0
CCG Run time:,59.91
CCG Iteration:,2
Subproblem Run time:,59.73
Number of Subproblem Callbacks:,45
Subproblem Callbacks Run Time:,3.94
Number of Uncertainty Set Check Call:,9
Uncertainty Set Check Run Time:,0.76
Head of worst tornado:,-94.567,37.06
Tail of worst tornado:,-94.479,37.078

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recovery Cost,Dislocation
32,-94.574,37.061,810,Do_nothing,0,YES,0,803,
70,-94.569,37.071,260,R3,173733,NO,0,0,
5,-94.559,37.061,136,Do_nothing,0,YES,0,135,
85,-94.558,37.052,366,R3,189129,NO,0,0,
71,-94.558,37.045,43,R1,19605,NO,0,0,
92,-94.555,37.068,531,R2,141402,YES,0,465,
38,-94.552,37.076,451,Do_nothing,0,NO,0,0,
21,-94.552,37.058,436,R1,227840,YES,0,432,
41,-94.55,37.094,623,R2,169431,NO,0,0,
56,-94.548,37.066,478,Do_nothing,0,YES,0,474,
80,-94.543,37.06,964,R1,111072,YES,0,955,
62,-94.542,37.083,526,R2,121094,NO,0,0,
20,-94.541,37.076,592,R3,618825,NO,0,0,
10,-94.541,37.091,745,Do_nothing,0,NO,0,0,
55,-94.537,37.067,697,Do_nothing,0,YES,0,691,
36,-94.535,37.044,277,R1,90202,NO,0,0,
44,-94.532,37.103,50,R2,171354,NO,0,0,
48,-94.531,37.093,447,R1,69011,NO,0,0,
8,-94.53,37.067,663,R3,488172,YES,0,539,
15,-94.528,37.085,712,R1,108443,NO,0,0,
61,-94.526,37.112,57,R1,28666,NO,0,0,
78,-94.526,37.072,1014,Do_nothing,0,YES,0,1005,
34,-94.525,37.064,1038,R3,368587,YES,0,844,
100,-94.524,37.079,485,R2,96246,NO,0,0,
90,-94.522,37.089,737,R1,182173,NO,0,0,
64,-94.521,37.102,540,Do_nothing,0,NO,0,0,
79,-94.521,37.053,642,R3,190738,NO,0,0,
1,-94.521,37.094,708,R1,104250,NO,0,0,
22,-94.521,37.075,470,R1,86007,YES,0,466,
31,-94.52,37.084,620,R2,187743,NO,0,0,
54,-94.52,37.068,801,R2,292181,YES,0,701,
82,-94.518,37.043,276,Do_nothing,0,NO,0,0,
11,-94.517,37.059,537,Do_nothing,0,NO,0,0,
75,-94.517,37.074,645,Do_nothing,0,YES,0,639,
50,-94.516,37.091,1155,R3,1327789,NO,0,0,
19,-94.516,37.051,782,R1,106626,NO,0,0,
99,-94.515,37.098,648,R3,256178,NO,0,0,
72,-94.514,37.068,839,Do_nothing,0,YES,0,831,
