Budget :,15000000.0,Tornado Length:,5.0
Best Bound:,15288
Best Objective:,15288
Gap:,0.0
CCG Run time:,63.34
CCG Iteration:,2
Subproblem Run time:,63.18
Number of Subproblem Callbacks:,47
Subproblem Callbacks Run Time:,4.62
Number of Uncertainty Set Check Call:,7
Uncertainty Set Check Run Time:,1.27
Head of worst tornado:,-94.567,37.06
Tail of worst tornado:,-94.479,37.078

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recovery Cost,Dislocation
32,-94.574,37.061,810,Do_nothing,0,YES,0,803,
70,-94.569,37.071,260,Do_nothing,0,NO,0,0,
5,-94.559,37.061,136,R2,52975,YES,0,119,
85,-94.558,37.052,366,R2,105366,NO,0,0,
71,-94.558,37.045,43,R3,44226,NO,0,0,
92,-94.555,37.068,531,R2,141402,YES,0,465,
38,-94.552,37.076,451,R1,158010,NO,0,0,
21,-94.552,37.058,436,R1,227840,YES,0,432,
41,-94.55,37.094,623,R3,304131,NO,0,0,
56,-94.548,37.066,478,R2,158240,YES,0,418,
80,-94.543,37.06,964,R1,111072,YES,0,955,
62,-94.542,37.083,526,R2,121094,NO,0,0,
20,-94.541,37.076,592,R2,344756,NO,0,0,
10,-94.541,37.091,745,R2,120838,NO,0,0,
55,-94.537,37.067,697,R1,141199,YES,0,691,
36,-94.535,37.044,277,R3,203487,NO,0,0,
44,-94.532,37.103,50,R3,307578,NO,0,0,
48,-94.531,37.093,447,R3,155683,NO,0,0,
8,-94.53,37.067,663,R2,271965,YES,0,580,
15,-94.528,37.085,712,R1,108443,NO,0,0,
61,-94.526,37.112,57,R1,28666,NO,0,0,
78,-94.526,37.072,1014,R2,175362,YES,0,887,
34,-94.525,37.064,1038,R1,163384,YES,0,1029,
100,-94.524,37.079,485,R1,76581,NO,0,0,
90,-94.522,37.089,737,Do_nothing,0,NO,0,0,
64,-94.521,37.102,540,Do_nothing,0,NO,0,0,
79,-94.521,37.053,642,R1,84551,NO,0,0,
1,-94.521,37.094,708,R3,235179,NO,0,0,
22,-94.521,37.075,470,Do_nothing,0,YES,0,466,
31,-94.52,37.084,620,Do_nothing,0,NO,0,0,
54,-94.52,37.068,801,R3,524455,YES,0,652,
82,-94.518,37.043,276,Do_nothing,0,NO,0,0,
11,-94.517,37.059,537,R1,104028,NO,0,0,
75,-94.517,37.074,645,R3,315022,YES,0,525,
50,-94.516,37.091,1155,R1,588581,NO,0,0,
19,-94.516,37.051,782,Do_nothing,0,NO,0,0,
99,-94.515,37.098,648,R3,256178,NO,0,0,
72,-94.514,37.068,839,Do_nothing,0,YES,0,831,
47,-94.512,37.06,438,R3,199866,NO,0,0,
49,-94.512,37.042,633,R3,279506,NO,0,0,
77,-94.511,37.03,57,R1,21608,NO,0,0,
95,-94.511,37.082,262,R3,280390,NO,0,0,
98,-94.51,37.056,325,R2,141154,NO,0,0,
53,-94.51,37.075,705,R1,109154,YES,0,699,
65,-94.509,37.065,510,R1,89855,NO,0,0,
63,-94.509,37.142,127,Do_nothing,0,NO,0,0,
14,-94.508,37.12,584,R2,104182,NO,0,0,
23,-94.507,37.06,551,Do_nothing,0,NO,0,0,
93,-94.507,37.112,537,Do_nothing,0,NO,0,0,
28,-94.505,37.092,367,R2,174860,NO,0,0,
2,-94.505,37.072,883,R1,266795,YES,0,875,
81,-94.504,37.049,217,Do_nothing,0,NO,0,0,
45,-94.503,37.04,288,R1,95888,NO,0,0,
88,-94.501,37.064,839,R2,177974,NO,0,0,
89,-94.501,37.078,239,R2,60340,YES,0,209,
25,-94.501,37.084,141,R3,81689,NO,0,0,
91,-94.499,37.093,403,R3,295099,NO,0,0,
43,-94.498,37.071,1224,Do_nothing,0,YES,0,1213,
76,-94.495,37.051,1481,R3,388050,NO,0,0,
42,-94.495,37.059,1119,R1,170159,NO,0,0,
7,-94.494,37.039,391,R3,152208,NO,0,0,
17,-94.494,37.088,654,R3,281442,NO,0,0,
37,-94.494,37.129,466,R3,125252,NO,0,0,
26,-94.493,37.105,796,R2,213431,NO,0,0,
9,-94.493,37.08,1418,R1,393339,YES,0,1405,
60,-94.493,37.115,417,R2,151737,NO,0,0,
16,-94.492,37.02,330,R2,191364,NO,0,0,
83,-94.489,37.087,499,R2,125272,NO,0,0,
13,-94.489,37.066,1699,R1,193418,NO,0,0,
67,-94.487,37.051,405,R1,127707,NO,0,0,
59,-94.486,37.107,808,Do_nothing,0,NO,0,0,
58,-94.485,37.09,538,R1,100371,NO,0,0,
4,-94.484,37.114,642,Do_nothing,0,NO,0,0,
68,-94.484,37.035,310,R1,50733,NO,0,0,
87,-94.484,37.124,130,R3,102678,NO,0,0,
40,-94.484,37.076,931,R3,463642,YES,0,757,
30,-94.483,37.023,196,R3,209693,NO,0,0,
27,-94.482,37.083,351,R2,85070,YES,0,307,
