Budget :,15000000.0,Tornado Length:,5.0
Best Bound:,10597
Best Objective:,10684
Gap:,0.01
CCG Run time:,8.17
CCG Iteration:,2
Subproblem Run time:,7.98
Number of Subproblem Callbacks:,9
Subproblem Callbacks Run Time:,0.72
Number of Uncertainty Set Check Call:,0
Uncertainty Set Check Run Time:,0
Head of worst tornado:,-94.519,37.071
Tail of worst tornado:,-94.429,37.061

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recovery Cost,Dislocation
29,-94.457,37.086,197,Do_nothing,0,NO,0,0,
18,-94.456,37.107,108,Do_nothing,0,NO,0,0,
24,-94.454,37.065,476,Do_nothing,0,YES,0,472,
94,-94.448,37.097,140,Do_nothing,0,NO,0,0,
33,-94.441,37.053,625,Do_nothing,0,NO,0,0,
12,-94.441,37.094,41,Do_nothing,0,NO,0,0,
57,-94.44,37.067,868,Do_nothing,0,YES,0,860,
97,-94.432,37.054,36,Do_nothing,0,NO,0,0,
69,-94.431,37.1,74,Do_nothing,0,NO,0,0,
3,-94.422,37.061,17,Do_nothing,0,YES,0,17,
66,-94.411,37.068,10,Do_nothing,0,NO,0,0,
