Budget :,0.0,Tornado Length:,5.0
Best Bound:,16472
Best Objective:,16472
Gap:,0.0
CCG Run time:,140.62
CCG Iteration:,2
Subproblem Run time:,140.38
Number of Subproblem Callbacks:,30
Subproblem Callbacks Run Time:,5.41
Number of Uncertainty Set Check Call:,5
Uncertainty Set Check Run Time:,1.15
