Budget :,15000000.0,Tornado Length:,5.0
Best Bound:,12143
Best Objective:,12666
Gap:,0.04
CCG Run time:,4921.13
CCG Iteration:,3
Subproblem Run time:,4920.58
Number of Subproblem Callbacks:,78
Subproblem Callbacks Run Time:,20.27
Number of Uncertainty Set Check Call:,33
Uncertainty Set Check Run Time:,9.29
Head of worst tornado:,-94.556,37.057
Tail of worst tornado:,-94.473,37.087

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recovery Cost,Dislocation
26,-94.49,37.05,250,Do_nothing,0,NO,0,0,
15,-94.489,37.087,385,R3,145441,YES,0,313,
56,-94.489,37.059,867,Do_nothing,0,NO,0,0,
88,-94.488,37.067,623,R3,232930,NO,0,0,
142,-94.487,37.091,437,Do_nothing,0,NO,0,0,
113,-94.486,37.077,454,R3,364065,YES,0,369,
52,-94.486,37.083,241,R3,109562,YES,0,196,
37,-94.486,37.109,504,Do_nothing,0,NO,0,0,
78,-94.485,37.026,305,Do_nothing,0,NO,0,0,
132,-94.485,37.104,444,Do_nothing,0,NO,0,0,
50,-94.484,37.037,215,Do_nothing,0,NO,0,0,
144,-94.483,37.114,487,Do_nothing,0,NO,0,0,
96,-94.483,37.088,291,R3,140250,YES,0,237,
120,-94.483,37.051,196,Do_nothing,0,NO,0,0,
22,-94.482,37.07,385,R3,177011,NO,0,0,
84,-94.482,37.065,559,Do_nothing,0,NO,0,0,
85,-94.481,37.074,317,R3,136742,NO,0,0,
16,-94.481,37.018,15,Do_nothing,0,NO,0,0,
20,-94.48,37.124,103,Do_nothing,0,NO,0,0,
128,-94.479,37.08,245,R3,97765,YES,0,199,
54,-94.476,37.115,541,Do_nothing,0,NO,0,0,
29,-94.474,37.043,76,Do_nothing,0,NO,0,0,
14,-94.474,37.083,454,R3,148598,YES,0,369,
38,-94.471,37.077,778,R3,317336,NO,0,0,
70,-94.469,37.126,555,Do_nothing,0,NO,0,0,
143,-94.468,37.091,731,R3,1965685,YES,0,595,
48,-94.466,37.107,890,Do_nothing,0,NO,0,0,
112,-94.465,37.075,410,R3,197631,NO,0,0,
89,-94.464,37.087,222,Do_nothing,0,NO,0,0,
129,-94.463,37.104,1319,Do_nothing,0,NO,0,0,
68,-94.463,37.082,298,Do_nothing,0,NO,0,0,
115,-94.461,37.048,227,Do_nothing,0,NO,0,0,
111,-94.458,37.119,18,Do_nothing,0,NO,0,0,
9,-94.456,37.107,108,Do_nothing,0,NO,0,0,
30,-94.456,37.086,54,Do_nothing,0,NO,0,0,
5,-94.455,37.065,458,Do_nothing,0,NO,0,0,
67,-94.454,37.051,34,Do_nothing,0,NO,0,0,
92,-94.448,37.097,140,Do_nothing,0,NO,0,0,
122,-94.445,37.069,391,Do_nothing,0,NO,0,0,
133,-94.443,37.054,576,Do_nothing,0,NO,0,0,
135,-94.442,37.042,2,Do_nothing,0,NO,0,0,
73,-94.441,37.064,226,Do_nothing,0,NO,0,0,
27,-94.441,37.094,41,Do_nothing,0,NO,0,0,
32,-94.438,37.056,52,Do_nothing,0,NO,0,0,
18,-94.436,37.068,269,Do_nothing,0,NO,0,0,
45,-94.432,37.098,68,Do_nothing,0,NO,0,0,
91,-94.431,37.054,31,Do_nothing,0,NO,0,0,
101,-94.424,37.112,6,Do_nothing,0,NO,0,0,
49,-94.422,37.061,17,Do_nothing,0,NO,0,0,
83,-94.411,37.068,10,Do_nothing,0,NO,0,0,
