Budget :,15000000.0,Tornado Length:,25.0
Best Bound:,12989
Best Objective:,13203
Gap:,0.02
CCG Run time:,4471.75
CCG Iteration:,3
Subproblem Run time:,4471.18
Number of Subproblem Callbacks:,77
Subproblem Callbacks Run Time:,12.55
Number of Uncertainty Set Check Call:,0
Uncertainty Set Check Run Time:,0
Head of worst tornado:,-94.575,37.057
Tail of worst tornado:,-94.426,37.094

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recover,Recovery Cost,Dislocation
81,-94.584,37.071,56,Do_nothing,0,NO,0,0,0,
171,-94.578,37.059,45,R3,91406,YES,0.0,0,37,
69,-94.572,37.059,389,R3,200225,YES,0.0,0,316,
114,-94.57,37.069,185,Do_nothing,0,NO,0,0,0,
20,-94.57,37.062,320,R3,96751,YES,0.07,151733,256,
145,-94.566,37.077,75,Do_nothing,0,NO,0,0,0,
92,-94.566,37.096,96,Do_nothing,0,NO,0,0,0,
110,-94.562,37.053,210,R2,32743,NO,0,0,0,
122,-94.559,37.062,124,R3,85884,YES,0.0,0,101,
137,-94.558,37.045,43,Do_nothing,0,NO,0,0,0,
56,-94.556,37.052,168,Do_nothing,0,NO,0,0,0,
100,-94.556,37.067,251,R3,111810,YES,0.0,0,204,
173,-94.554,37.071,251,Do_nothing,0,NO,0,0,0,
9,-94.553,37.077,171,Do_nothing,0,NO,0,0,0,
88,-94.552,37.099,49,Do_nothing,0,NO,0,0,0,
36,-94.552,37.06,507,R3,492360,YES,0.0,0,412,
149,-94.551,37.094,170,Do_nothing,0,NO,0,0,0,
66,-94.551,37.066,189,R3,134304,YES,0.0,0,154,
191,-94.55,37.075,210,Do_nothing,0,NO,0,0,0,
14,-94.548,37.093,308,Do_nothing,0,NO,0,0,0,
159,-94.547,37.066,200,R3,167216,YES,0.0,0,163,
6,-94.546,37.056,263,Do_nothing,0,NO,0,0,0,
26,-94.544,37.081,178,Do_nothing,0,NO,0,0,0,
119,-94.544,37.089,344,Do_nothing,0,NO,0,0,0,
164,-94.543,37.041,2,Do_nothing,0,NO,0,0,0,
86,-94.543,37.061,818,R3,203362,YES,0.0,0,665,
61,-94.542,37.075,159,Do_nothing,0,NO,0,0,0,
165,-94.541,37.093,364,Do_nothing,0,NO,0,0,0,
147,-94.54,37.083,313,Do_nothing,0,NO,0,0,0,
136,-94.54,37.078,335,Do_nothing,0,NO,0,0,0,
31,-94.538,37.068,336,R3,131397,YES,0.0,0,273,
53,-94.538,37.09,139,Do_nothing,0,NO,0,0,0,
168,-94.537,37.065,257,R3,157383,YES,0.0,0,209,
167,-94.537,37.076,31,Do_nothing,0,NO,0,0,0,
45,-94.536,37.043,128,Do_nothing,0,NO,0,0,0,
193,-94.535,37.048,44,Do_nothing,0,NO,0,0,0,
197,-94.534,37.068,266,R3,328491,YES,0.0,0,216,
108,-94.532,37.103,50,Do_nothing,0,NO,0,0,0,
