Budget :,0.0,Tornado Length:,25.0
Best Bound:,15974
Best Objective:,15974
Gap:,0.0
CCG Run time:,1570.33
CCG Iteration:,2
Subproblem Run time:,1570.01
Number of Subproblem Callbacks:,48
Subproblem Callbacks Run Time:,8.06
Number of Uncertainty Set Check Call:,0
Uncertainty Set Check Run Time:,0
Head of worst tornado:,-94.575,37.057
Tail of worst tornado:,-94.426,37.094

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recover,Recovery Cost,Dislocation
196,-94.51,37.031,54,Do_nothing,0,NO,0,0,0,
21,-94.51,37.082,188,Do_nothing,0,NO,0,0,0,
96,-94.51,37.077,239,Do_nothing,0,YES,0.0,0,237,
72,-94.509,37.142,127,Do_nothing,0,NO,0,0,0,
94,-94.508,37.055,124,Do_nothing,0,NO,0,0,0,
18,-94.507,37.12,449,Do_nothing,0,NO,0,0,0,
189,-94.507,37.092,80,Do_nothing,0,NO,0,0,0,
169,-94.507,37.058,281,Do_nothing,0,NO,0,0,0,
28,-94.506,37.074,324,Do_nothing,0,YES,0.0,0,321,
129,-94.506,37.095,131,Do_nothing,0,NO,0,0,0,
8,-94.506,37.062,344,Do_nothing,0,NO,0,0,0,
144,-94.506,37.04,153,Do_nothing,0,NO,0,0,0,
58,-94.505,37.046,128,Do_nothing,0,NO,0,0,0,
106,-94.504,37.082,87,Do_nothing,0,NO,0,0,0,
35,-94.504,37.091,133,Do_nothing,0,NO,0,0,0,
123,-94.503,37.112,229,Do_nothing,0,NO,0,0,0,
160,-94.502,37.036,32,Do_nothing,0,NO,0,0,0,
97,-94.502,37.071,714,Do_nothing,0,YES,0.0,0,708,
134,-94.501,37.093,247,Do_nothing,0,NO,0,0,0,
166,-94.501,37.042,103,Do_nothing,0,NO,0,0,0,
157,-94.501,37.06,199,Do_nothing,0,NO,0,0,0,
117,-94.501,37.065,659,Do_nothing,0,NO,0,0,0,
170,-94.501,37.129,10,Do_nothing,0,NO,0,0,0,
57,-94.5,37.077,335,Do_nothing,0,YES,0.0,0,332,
10,-94.499,37.099,15,Do_nothing,0,NO,0,0,0,
126,-94.498,37.058,454,Do_nothing,0,NO,0,0,0,
39,-94.498,37.086,109,Do_nothing,0,NO,0,0,0,
63,-94.497,37.092,248,Do_nothing,0,NO,0,0,0,
19,-94.496,37.05,1267,Do_nothing,0,NO,0,0,0,
75,-94.496,37.071,1031,Do_nothing,0,YES,0.0,0,1022,
142,-94.494,37.086,327,Do_nothing,0,NO,0,0,0,
152,-94.494,37.081,862,Do_nothing,0,YES,0.0,0,854,
59,-94.494,37.038,387,Do_nothing,0,NO,0,0,0,
64,-94.494,37.057,414,Do_nothing,0,NO,0,0,0,
62,-94.493,37.115,417,Do_nothing,0,NO,0,0,0,
