Budget :,15000000.0,Tornado Length:,5.0
Best Bound:,15113
Best Objective:,15113
Gap:,0.0
CCG Run time:,57.53
CCG Iteration:,2
Subproblem Run time:,57.37
Number of Subproblem Callbacks:,48
Subproblem Callbacks Run Time:,3.35
Number of Uncertainty Set Check Call:,6
Uncertainty Set Check Run Time:,0.5
Head of worst tornado:,-94.567,37.06
Tail of worst tornado:,-94.479,37.078

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recovery Cost,Dislocation
32,-94.574,37.061,810,R1,184945,YES,0,803,
70,-94.569,37.071,260,Do_nothing,0,NO,0,0,
5,-94.559,37.061,136,R2,52975,YES,0,119,
85,-94.558,37.052,366,Do_nothing,0,NO,0,0,
71,-94.558,37.045,43,R2,24639,NO,0,0,
92,-94.555,37.068,531,R3,253810,YES,0,432,
38,-94.552,37.076,451,R3,356456,NO,0,0,
21,-94.552,37.058,436,R3,513985,YES,0,355,
41,-94.55,37.094,623,R1,134812,NO,0,0,
56,-94.548,37.066,478,Do_nothing,0,YES,0,474,
80,-94.543,37.06,964,R2,139593,YES,0,843,
62,-94.542,37.083,526,Do_nothing,0,NO,0,0,
20,-94.541,37.076,592,R3,618825,NO,0,0,
10,-94.541,37.091,745,R1,96147,NO,0,0,
55,-94.537,37.067,697,Do_nothing,0,YES,0,691,
36,-94.535,37.044,277,Do_nothing,0,NO,0,0,
44,-94.532,37.103,50,Do_nothing,0,NO,0,0,
48,-94.531,37.093,447,Do_nothing,0,NO,0,0,
8,-94.53,37.067,663,Do_nothing,0,YES,0,657,
15,-94.528,37.085,712,R3,244641,NO,0,0,
61,-94.526,37.112,57,Do_nothing,0,NO,0,0,
78,-94.526,37.072,1014,R2,175362,YES,0,887,
34,-94.525,37.064,1038,R1,163384,YES,0,1029,
100,-94.524,37.079,485,Do_nothing,0,NO,0,0,
90,-94.522,37.089,737,Do_nothing,0,NO,0,0,
64,-94.521,37.102,540,R2,318395,NO,0,0,
79,-94.521,37.053,642,R2,106262,NO,0,0,
1,-94.521,37.094,708,Do_nothing,0,NO,0,0,
22,-94.521,37.075,470,R2,108093,YES,0,411,
31,-94.52,37.084,620,R1,149381,NO,0,0,
54,-94.52,37.068,801,R2,292181,YES,0,701,
82,-94.518,37.043,276,R3,171642,NO,0,0,
11,-94.517,37.059,537,R1,104028,NO,0,0,
75,-94.517,37.074,645,R2,175502,YES,0,564,
50,-94.516,37.091,1155,Do_nothing,0,NO,0,0,
19,-94.516,37.051,782,R1,106626,NO,0,0,
99,-94.515,37.098,648,Do_nothing,0,NO,0,0,
72,-94.514,37.068,839,Do_nothing,0,YES,0,831,
47,-94.512,37.06,438,Do_nothing,0,NO,0,0,
49,-94.512,37.042,633,Do_nothing,0,NO,0,0,
77,-94.511,37.03,57,R1,21608,NO,0,0,
95,-94.511,37.082,262,R2,156209,NO,0,0,
98,-94.51,37.056,325,R1,112314,NO,0,0,
53,-94.51,37.075,705,Do_nothing,0,YES,0,699,
65,-94.509,37.065,510,R1,89855,NO,0,0,
63,-94.509,37.142,127,R3,34283,NO,0,0,
14,-94.508,37.12,584,R1,82896,NO,0,0,
23,-94.507,37.06,551,Do_nothing,0,NO,0,0,
93,-94.507,37.112,537,R1,82531,NO,0,0,
28,-94.505,37.092,367,R2,174860,NO,0,0,
2,-94.505,37.072,883,R1,266795,YES,0,875,
81,-94.504,37.049,217,R1,65502,NO,0,0,
45,-94.503,37.04,288,Do_nothing,0,NO,0,0,
88,-94.501,37.064,839,R3,319460,NO,0,0,
89,-94.501,37.078,239,R2,60340,YES,0,209,
25,-94.501,37.084,141,Do_nothing,0,NO,0,0,
91,-94.499,37.093,403,R3,295099,NO,0,0,
43,-94.498,37.071,1224,R3,1037663,YES,0,996,
76,-94.495,37.051,1481,Do_nothing,0,NO,0,0,
42,-94.495,37.059,1119,R3,383865,NO,0,0,
7,-94.494,37.039,391,R1,67468,NO,0,0,
