Budget :,15000000.0,Tornado Length:,5.0
Best Bound:,15416
Best Objective:,15417
Gap:,0.0
CCG Run time:,63.28
CCG Iteration:,2
Subproblem Run time:,63.11
Number of Subproblem Callbacks:,53
Subproblem Callbacks Run Time:,3.66
Number of Uncertainty Set Check Call:,4
Uncertainty Set Check Run Time:,0.92
Head of worst tornado:,-94.553,37.063
Tail of worst tornado:,-94.465,37.081

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recovery Cost,Dislocation
32,-94.574,37.061,810,R2,232438,NO,0,0,
70,-94.569,37.071,260,R3,173733,NO,0,0,
5,-94.559,37.061,136,Do_nothing,0,YES,3681994,134,
85,-94.558,37.052,366,R2,105366,NO,0,0,
71,-94.558,37.045,43,R3,44226,NO,0,0,
92,-94.555,37.068,531,R2,141402,YES,0,465,
38,-94.552,37.076,451,R1,158010,NO,0,0,
21,-94.552,37.058,436,Do_nothing,0,YES,0,432,
41,-94.55,37.094,623,Do_nothing,0,NO,0,0,
56,-94.548,37.066,478,Do_nothing,0,YES,0,474,
80,-94.543,37.06,964,R3,250567,YES,0,784,
62,-94.542,37.083,526,Do_nothing,0,NO,0,0,
20,-94.541,37.076,592,R3,618825,NO,0,0,
10,-94.541,37.091,745,Do_nothing,0,NO,0,0,
55,-94.537,37.067,697,R2,177452,YES,0,610,
36,-94.535,37.044,277,Do_nothing,0,NO,0,0,
44,-94.532,37.103,50,Do_nothing,0,NO,0,0,
48,-94.531,37.093,447,Do_nothing,0,NO,0,0,
8,-94.53,37.067,663,R3,488172,YES,0,539,
15,-94.528,37.085,712,Do_nothing,0,NO,0,0,
61,-94.526,37.112,57,R2,36027,NO,0,0,
78,-94.526,37.072,1014,Do_nothing,0,YES,0,1005,
34,-94.525,37.064,1038,R3,368587,YES,0,844,
100,-94.524,37.079,485,R3,172762,NO,0,0,
90,-94.522,37.089,737,Do_nothing,0,NO,0,0,
64,-94.521,37.102,540,Do_nothing,0,NO,0,0,
79,-94.521,37.053,642,R3,190738,NO,0,0,
1,-94.521,37.094,708,Do_nothing,0,NO,0,0,
22,-94.521,37.075,470,Do_nothing,0,YES,0,466,
31,-94.52,37.084,620,Do_nothing,0,NO,0,0,
54,-94.52,37.068,801,Do_nothing,0,YES,0,794,
82,-94.518,37.043,276,Do_nothing,0,NO,0,0,
11,-94.517,37.059,537,R1,104028,NO,0,0,
75,-94.517,37.074,645,Do_nothing,0,YES,0,639,
50,-94.516,37.091,1155,Do_nothing,0,NO,0,0,
19,-94.516,37.051,782,R2,134005,NO,0,0,
99,-94.515,37.098,648,R2,142720,NO,0,0,
72,-94.514,37.068,839,R2,162324,YES,0,734,
47,-94.512,37.06,438,Do_nothing,0,NO,0,0,
49,-94.512,37.042,633,R1,123902,NO,0,0,
77,-94.511,37.03,57,Do_nothing,0,NO,0,0,
95,-94.511,37.082,262,R3,280390,NO,0,0,
98,-94.51,37.056,325,Do_nothing,0,NO,0,0,
53,-94.51,37.075,705,R1,109154,YES,0,699,
65,-94.509,37.065,510,R3,202701,NO,0,0,
63,-94.509,37.142,127,R1,15197,NO,0,0,
14,-94.508,37.12,584,R2,104182,NO,0,0,
23,-94.507,37.06,551,Do_nothing,0,NO,0,0,
93,-94.507,37.112,537,Do_nothing,0,NO,0,0,
28,-94.505,37.092,367,R3,313866,NO,0,0,
2,-94.505,37.072,883,Do_nothing,0,YES,0,875,
81,-94.504,37.049,217,R1,65502,NO,0,0,
45,-94.503,37.04,288,Do_nothing,0,NO,0,0,
88,-94.501,37.064,839,R1,141611,NO,0,0,
89,-94.501,37.078,239,Do_nothing,0,YES,0,237,
25,-94.501,37.084,141,Do_nothing,0,NO,0,0,
91,-94.499,37.093,403,R1,130813,NO,0,0,
43,-94.498,37.071,1224,Do_nothing,0,YES,0,1213,
76,-94.495,37.051,1481,Do_nothing,0,NO,0,0,
42,-94.495,37.059,1119,Do_nothing,0,NO,0,0,
7,-94.494,37.039,391,R1,67468,NO,0,0,
17,-94.494,37.088,654,Do_nothing,0,NO,0,0,
37,-94.494,37.129,466,Do_nothing,0,NO,0,0,
